name,mtime,mode,epoch,val_f1,test_f1,test_acc,abn_R,nor_R,lr_bb,lr_head,epochs,batch_size,focal_gamma,abnormal_weight,dropout,label_smoothing,use_mixup,normal_ratio,ema_decay,smooth_window,min_epochs
anomaly_type_steplr,2026-04-04T17:26:16.251843,anomaly_type,11,0.9656,0.8711,0.8693,,,0.0001,0.001,50,32,,,,,False,,,,
binary_mixup,2026-04-04T17:46:57.611053,binary,1,0.454,0.4545,0.8333,1.0,0.0,0.0001,0.001,50,32,,,,,True,,,,
binary_steplr,2026-04-04T17:17:52.566328,binary,1,0.454,0.4545,0.8333,1.0,0.0,0.0001,0.001,50,32,,,,,False,,,,
convnextv2_freeze10,2026-04-03T17:53:28.561905,,33,0.8851,0.7022,0.7,,0.9,5e-05,0.0005,50,32,,,,,,,,,
convnextv2_labelsmooth,2026-04-03T18:08:36.341552,,16,0.9174,0.7182,0.7333,,0.9333333333333333,5e-05,0.0005,50,32,,,,,,,,,
convnextv2_lr1e4,2026-04-03T17:45:50.508829,,47,0.9117,0.752,0.75,,0.9,0.0001,0.001,50,32,,,,,,,,,
convnextv2_lr2e5,2026-04-03T17:32:01.958893,,23,0.8678,0.7143,0.7111,,0.9,2e-05,0.0002,50,32,,,,,,,,,
convnextv2_lr5e5,2026-04-03T16:09:33.002282,,22,0.8608,0.7532,0.75,,0.9666666666666667,5e-05,0.0005,50,32,,,,,,,,,
convnextv2_plateau,2026-04-03T20:40:35.971288,,27,0.9251,0.8116,0.8067,,0.9466666666666667,5e-05,0.0005,50,32,,,,,,,,,
convnextv2_steplr_10_05,2026-04-03T19:53:59.123794,,24,0.9386,0.8272,0.8222,,0.9333333333333333,5e-05,0.0005,50,32,,,,,,,,,
convnextv2_steplr_15_05_hiLR,2026-04-03T20:20:25.937109,,12,0.9338,0.8304,0.8267,,0.92,0.0001,0.001,50,32,,,,,,,,,
convnextv2_steplr_7_07,2026-04-03T20:07:43.806402,,14,0.9343,0.8145,0.8089,,0.96,5e-05,0.0005,50,32,,,,,,,,,
efficientnetv2s,2026-04-03T17:58:02.393896,,14,0.8128,0.5618,0.5667,,0.7666666666666667,3e-05,0.0003,50,32,,,,,,,,,
ft_aw12_d04,2026-04-06T10:50:39.461441,binary,3,0.8682,0.8458,0.9246,0.9957081545064378,0.5933333333333334,0.0001,0.001,50,32,,,,,False,,,,
ft_aw12_w3,2026-04-06T12:00:22.493098,binary,4,0.9817,0.9349,0.9623,0.9785407725321889,0.8866666666666667,0.0001,0.001,50,32,,,,,False,,,,
ft_aw13_lr08,2026-04-06T12:33:30.090995,binary,12,0.9899,0.935,0.9611,0.9685264663805436,0.9266666666666666,8e-05,0.0008,50,32,,,,,False,,,,
ft_aw13_min10,2026-04-06T11:14:54.097408,binary,6,0.9837,0.9254,0.9552,0.9642346208869814,0.9133333333333333,0.0001,0.001,50,32,,,,,False,,,,
ft_aw15_g22,2026-04-06T11:38:14.158115,binary,5,0.9797,0.9336,0.96,0.9656652360515021,0.9333333333333333,0.0001,0.001,50,32,,,,,False,,,,
ft_base,2026-04-06T08:40:24.399037,binary,11,0.998,0.9231,0.9517,0.9484978540772532,0.9666666666666667,0.0001,0.001,50,32,,,,,False,,,,
ft_d06,2026-04-06T09:45:45.957694,binary,8,0.996,0.9217,0.9505,0.9456366237482118,0.9733333333333334,0.0001,0.001,50,32,,,,,False,,,,
ft_ep70,2026-04-06T14:14:47.888954,binary,3,0.9797,0.9366,0.9611,0.9613733905579399,0.96,0.0001,0.001,70,32,,,,,False,,,,
ft_g1.8,2026-04-06T10:10:18.207911,binary,6,1.0,0.918,0.9482,0.944206008583691,0.9666666666666667,0.0001,0.001,50,32,,,,,False,,,,
ft_g2.2,2026-04-06T10:30:39.310451,binary,3,0.9858,0.9265,0.9552,0.9599427753934192,0.9333333333333333,0.0001,0.001,50,32,,,,,False,,,,
ft_p15,2026-04-06T13:03:10.255930,binary,9,1.0,0.9306,0.9564,0.9513590844062947,0.98,0.0001,0.001,50,32,,,,,False,,,,
ft_p20,2026-04-06T13:40:28.267649,binary,9,1.0,0.9364,0.96,0.9527896995708155,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
gm_g05,2026-04-06T09:50:08.566319,binary,11,0.9858,0.9286,0.9564,0.9599427753934192,0.94,0.0001,0.001,50,32,,,,,False,,,,
gm_g10,2026-04-06T10:22:17.453802,binary,11,0.9755,0.9205,0.9517,0.9585121602288984,0.92,0.0001,0.001,50,32,,,,,False,,,,
gm_g15,2026-04-06T10:59:12.044875,binary,14,0.9796,0.9308,0.9588,0.9685264663805436,0.9133333333333333,0.0001,0.001,50,32,,,,,False,,,,
gm_g20,2026-04-06T11:21:04.377457,binary,4,0.9732,0.9275,0.9564,0.9642346208869814,0.92,0.0001,0.001,50,32,,,,,False,,,,
gm_g25,2026-04-06T11:52:13.168194,binary,10,0.9817,0.9315,0.96,0.9742489270386266,0.8933333333333333,0.0001,0.001,50,32,,,,,False,,,,
gm_g25_n1500,2026-04-06T17:18:22.503472,binary,4,0.9879,0.9347,0.9611,0.9699570815450643,0.92,0.0001,0.001,50,32,,,,,False,,,,
gm_g30,2026-04-06T12:18:55.990892,binary,7,1.0,0.9184,0.9482,0.9427753934191703,0.9733333333333334,0.0001,0.001,50,32,,,,,False,,,,
gm_g30_n1000,2026-04-06T16:36:35.506629,binary,12,0.9796,0.9393,0.9647,0.9785407725321889,0.9,0.0001,0.001,50,32,,,,,False,,,,
gm_g30_n1500,2026-04-06T17:04:48.811885,binary,5,0.9668,0.9038,0.9435,0.9628040057224606,0.8533333333333334,0.0001,0.001,50,32,,,,,False,,,,
gm_g35,2026-04-06T12:42:16.944605,binary,5,0.9899,0.9254,0.9541,0.9556509298998569,0.9466666666666667,0.0001,0.001,50,32,,,,,False,,,,
gm_g35_n1000,2026-04-06T16:50:46.888469,binary,5,0.9899,0.9331,0.9588,0.9585121602288984,0.96,0.0001,0.001,50,32,,,,,False,,,,
gm_g40,2026-04-06T13:15:25.884525,binary,11,0.996,0.939,0.9623,0.9599427753934192,0.9733333333333334,0.0001,0.001,50,32,,,,,False,,,,
gm_g50,2026-04-06T13:47:55.738274,binary,11,0.994,0.8781,0.9223,0.9256080114449213,0.9066666666666666,0.0001,0.001,50,32,,,,,False,,,,
gm_nor100,2026-04-06T14:04:13.575665,binary,1,0.7979,0.6899,0.768,0.771101573676681,0.7533333333333333,0.0001,0.001,50,32,,,,,False,,,,
gm_nor1000,2026-04-06T15:32:58.632805,binary,9,0.9899,0.9241,0.9529,0.9527896995708155,0.9533333333333334,0.0001,0.001,50,32,,,,,False,,,,
gm_nor1500,2026-04-06T16:01:39.373582,binary,20,0.9732,0.9101,0.947,0.9642346208869814,0.8666666666666667,0.0001,0.001,50,32,,,,,False,,,,
gm_nor200,2026-04-06T14:30:59.620439,binary,9,0.9879,0.9244,0.9529,0.9513590844062947,0.96,0.0001,0.001,50,32,,,,,False,,,,
gm_nor2000,2026-04-06T16:14:55.707963,binary,3,0.9881,0.9089,0.9411,0.932761087267525,0.98,0.0001,0.001,50,32,,,,,False,,,,
gm_nor350,2026-04-06T14:44:23.133923,binary,4,0.9711,0.9341,0.9611,0.9728183118741058,0.9066666666666666,0.0001,0.001,50,32,,,,,False,,,,
gm_nor500,2026-04-06T15:06:04.331309,binary,18,0.994,0.931,0.9576,0.9585121602288984,0.9533333333333334,0.0001,0.001,50,32,,,,,False,,,,
gm_nor700,2026-04-06T15:16:23.963328,binary,3,0.9879,0.8984,0.934,0.927038626609442,0.9666666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_aw1,2026-04-05T23:21:00.103110,binary,4,0.9732,0.9344,0.9611,0.9713876967095851,0.9133333333333333,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_aw10,2026-04-06T00:14:18.898985,binary,3,0.9132,0.9153,0.9552,0.9971387696709585,0.76,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_aw2,2026-04-05T23:31:35.963363,binary,3,0.9535,0.9168,0.9529,0.9785407725321889,0.8333333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_aw4,2026-04-05T23:41:58.122463,binary,3,0.848,0.8327,0.9199,0.9971387696709585,0.56,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_aw5,2026-04-05T23:51:36.112797,binary,2,0.9602,0.92,0.9541,0.9756795422031473,0.8533333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_aw7,2026-04-06T00:03:41.285994,binary,5,0.7945,0.8046,0.9105,1.0,0.49333333333333335,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_b16,2026-04-06T02:57:30.927679,binary,1,0.9255,0.8663,0.9293,0.9814020028612304,0.6866666666666666,0.0001,0.001,50,16,,,,,False,,,,
imp2_cos_b64,2026-04-06T03:09:06.126348,binary,4,0.9858,0.9321,0.9588,0.9628040057224606,0.94,0.0001,0.001,50,64,,,,,False,,,,
imp2_cos_d02,2026-04-06T02:00:55.512180,binary,7,0.9557,0.9285,0.96,0.9856938483547926,0.84,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_d03,2026-04-06T02:10:35.606462,binary,2,0.9689,0.9243,0.9552,0.9685264663805436,0.8933333333333333,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_d04,2026-04-06T02:20:13.949333,binary,2,0.9231,0.8912,0.9411,0.9828326180257511,0.7466666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_g1,2026-04-06T00:24:55.840930,binary,3,0.9732,0.9386,0.9647,0.9814020028612304,0.8866666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_g15,2026-04-06T00:33:34.686819,binary,1,0.7738,0.7858,0.9022,0.9957081545064378,0.4666666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_g25,2026-04-06T00:52:06.063460,binary,13,0.994,0.9384,0.9635,0.9728183118741058,0.92,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_g3,2026-04-06T01:01:44.151663,binary,2,0.9837,0.9085,0.9435,0.9484978540772532,0.92,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_lr1,2026-04-06T01:14:47.383203,binary,6,0.9732,0.9344,0.9611,0.9713876967095851,0.9133333333333333,3e-05,0.0003,50,32,,,,,False,,,,
imp2_cos_lr2,2026-04-06T01:25:23.617413,binary,3,0.9753,0.9433,0.967,0.9799713876967096,0.9066666666666666,7e-05,0.0007,50,32,,,,,False,,,,
imp2_cos_lr3,2026-04-06T01:35:46.512666,binary,3,0.9796,0.9308,0.96,0.977110157367668,0.88,0.00015,0.0015,50,32,,,,,False,,,,
imp2_cos_lr4,2026-04-06T01:47:20.265553,binary,4,0.9796,0.9211,0.9529,0.9642346208869814,0.9,0.0002,0.002,50,32,,,,,False,,,,
imp2_cos_w10,2026-04-06T02:48:31.050932,binary,5,0.949,0.9327,0.9623,0.9871244635193133,0.8466666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_w3,2026-04-06T02:36:01.809750,binary,10,0.9732,0.9316,0.9611,0.9828326180257511,0.86,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_wd001,2026-04-06T03:22:00.108375,binary,5,0.89,0.9,0.947,0.9914163090128756,0.74,0.0001,0.001,50,32,,,,,False,,,,
imp2_cos_wd05,2026-04-06T03:32:04.179521,binary,2,0.9602,0.9301,0.96,0.9799713876967096,0.8666666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp2_opt1,2026-04-06T04:12:22.104255,binary,2,0.8738,0.8923,0.9446,0.9971387696709585,0.7,7e-05,0.0007,50,32,,,,,False,,,,
imp2_opt2,2026-04-06T04:21:25.532189,binary,1,0.6523,0.6636,0.8669,0.9985693848354793,0.25333333333333335,0.0001,0.001,50,32,,,,,False,,,,
imp2_opt3,2026-04-06T04:33:17.488453,binary,4,0.992,0.9251,0.9541,0.9570815450643777,0.94,0.0001,0.001,50,32,,,,,False,,,,
imp2_opt4,2026-04-06T04:43:21.521818,binary,2,0.949,0.9249,0.9588,0.9899856938483548,0.8133333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp2_opt5,2026-04-06T04:54:13.127241,binary,3,0.9512,0.9207,0.9564,0.9885550786838341,0.8066666666666666,0.0001,0.001,70,32,,,,,False,,,,
imp2_s10_aw3,2026-04-06T03:42:09.890143,binary,2,0.935,0.8818,0.9364,0.9814020028612304,0.7266666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp2_s10_aw5,2026-04-06T03:52:14.270956,binary,2,0.9557,0.9062,0.947,0.9756795422031473,0.8133333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp2_s10_aw8,2026-04-06T04:02:17.764393,binary,2,0.9206,0.911,0.9517,0.9885550786838341,0.78,0.0001,0.001,50,32,,,,,False,,,,
imp_aw1.5,2026-04-05T17:58:05.744254,binary,5,0.9879,0.9173,0.9482,0.9470672389127325,0.9533333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp_aw10,2026-04-05T18:52:46.246586,binary,3,0.9535,0.9173,0.9541,0.9842632331902719,0.8133333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp_aw2,2026-04-05T18:11:13.224329,binary,6,0.992,0.9077,0.9411,0.9370529327610873,0.96,0.0001,0.001,50,32,,,,,False,,,,
imp_aw3,2026-04-05T18:21:51.546509,binary,3,0.9421,0.9251,0.9576,0.9814020028612304,0.8466666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp_aw5,2026-04-05T18:31:30.256392,binary,2,0.9467,0.9126,0.9517,0.9842632331902719,0.8,0.0001,0.001,50,32,,,,,False,,,,
imp_aw8,2026-04-05T18:42:07.919054,binary,3,0.935,0.9183,0.9552,0.9885550786838341,0.8,0.0001,0.001,50,32,,,,,False,,,,
imp_baseline,2026-04-05T22:31:54.188160,binary,9,0.9899,0.9402,0.9647,0.9742489270386266,0.92,0.0001,0.001,50,32,,,,,False,,,,
imp_best1,2026-04-05T21:44:09.419501,binary,5,0.9775,0.9319,0.96,0.9728183118741058,0.9,0.0001,0.001,50,32,,,,,False,,,,
imp_best2,2026-04-05T21:54:47.727392,binary,3,0.9817,0.9315,0.96,0.9742489270386266,0.8933333333333333,0.0001,0.001,50,32,,,,,False,,,,
imp_best3,2026-04-05T22:05:24.883306,binary,3,0.9817,0.9093,0.9435,0.9456366237482118,0.9333333333333333,5e-05,0.0005,50,32,,,,,False,,,,
imp_best4,2026-04-05T22:16:33.010444,binary,2,0.848,0.829,0.9176,0.994277539341917,0.56,0.0001,0.001,50,32,,,,,False,,,,
imp_cosine,2026-04-05T20:13:50.929868,binary,6,0.9182,0.9327,0.9635,0.9957081545064378,0.8133333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp_d03,2026-04-05T20:47:59.873951,binary,2,0.8792,0.8812,0.9388,0.9928469241773963,0.6866666666666666,0.0001,0.001,50,32,,,,,False,,,,
imp_d07,2026-04-05T20:58:37.601886,binary,3,0.9837,0.9414,0.9647,0.9685264663805436,0.9466666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp_g1.0,2026-04-05T19:03:24.277667,binary,3,0.9557,0.9077,0.947,0.9713876967095851,0.8333333333333334,0.0001,0.001,50,32,,,,,False,,,,
imp_g1.5,2026-04-05T19:12:04.936670,binary,1,0.8979,0.8836,0.9376,0.9828326180257511,0.7266666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp_g2.5,2026-04-05T19:26:57.397998,binary,9,0.9775,0.9308,0.96,0.977110157367668,0.88,0.0001,0.001,50,32,,,,,False,,,,
imp_g3.0,2026-04-05T19:40:36.501013,binary,7,0.9397,0.9116,0.9517,0.9871244635193133,0.7866666666666666,0.0001,0.001,50,32,,,,,False,,,,
imp_lr_hi,2026-04-05T20:38:19.783332,binary,4,0.9879,0.9377,0.9635,0.9756795422031473,0.9066666666666666,0.0002,0.002,50,32,,,,,False,,,,
imp_lr_low,2026-04-05T20:26:57.299554,binary,6,0.9775,0.9319,0.96,0.9728183118741058,0.9,5e-05,0.0005,50,32,,,,,False,,,,
imp_min15,2026-04-05T21:31:03.263341,binary,4,0.9602,0.9319,0.9611,0.9814020028612304,0.8666666666666667,0.0001,0.001,50,32,,,,,False,,,,
imp_mix02,2026-04-05T21:08:16.799831,binary,2,0.9711,0.923,0.9529,0.9570815450643777,0.9333333333333333,0.0001,0.001,50,32,,,,,True,,,,
imp_mix04,2026-04-05T21:19:40.234803,binary,4,0.994,0.9476,0.9682,0.9685264663805436,0.9666666666666667,0.0001,0.001,50,32,,,,,True,,,,
imp_s10_05,2026-04-05T19:51:19.309054,binary,3,0.882,0.8734,0.9364,0.9971387696709585,0.6533333333333333,0.0001,0.001,50,32,,,,,False,,,,
imp_s7_07,2026-04-05T20:00:57.757228,binary,2,0.8142,0.8369,0.9211,0.9957081545064378,0.5733333333333334,0.0001,0.001,50,32,,,,,False,,,,
lw_nor01,2026-04-06T08:08:07.298140,multiclass,21,0.9811,0.9323,0.9293,,0.9,0.0001,0.001,50,32,,,,,False,,,,
lw_nor03,2026-04-06T07:42:50.770902,multiclass,17,0.9911,0.9396,0.9376,,0.9533333333333334,0.0001,0.001,50,32,,,,,False,,,,
lw_nor05,2026-04-06T07:20:22.558050,multiclass,18,0.9889,0.9175,0.914,,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
lw_spk3,2026-04-06T08:32:21.079568,multiclass,13,0.9823,0.9184,0.9152,,0.9,0.0001,0.001,50,32,,,,,False,,,,
multiclass_ls,2026-04-04T18:15:09.047842,multiclass,21,0.9801,0.8785,0.8756,,0.9733333333333334,0.0001,0.001,50,32,,,,,False,,,,
multiclass_mixup,2026-04-04T18:02:32.991677,multiclass,29,0.9801,0.8797,0.8778,,0.9866666666666667,0.0001,0.001,50,32,,,,,True,,,,
multiclass_steplr,2026-04-04T17:42:31.476991,multiclass,29,0.9755,0.9092,0.9089,,0.96,0.0001,0.001,50,32,,,,,False,,,,
r3_analysis,2026-04-04T15:59:37.980236,,14,0.947,0.8336,0.8311,,0.8266666666666667,0.0001,0.001,50,32,,,,,False,,,,
r3_batch64,2026-04-04T16:42:55.893273,,12,0.9541,0.8236,0.8178,,0.9333333333333333,0.0001,0.001,50,64,,,,,False,,,,
r3_cosine_amp,2026-04-04T16:04:10.883336,,10,0.9408,0.8232,0.82,,0.8533333333333334,5e-05,0.0005,50,32,,,,,False,,,,
r3_cosine_mixup,2026-04-04T16:25:14.230886,,38,0.9538,0.8461,0.8422,,0.8533333333333334,5e-05,0.0005,50,32,,,,,True,,,,
r3_steplr_10_05,2026-04-04T15:48:47.810283,,25,0.9515,0.8132,0.8089,,0.92,5e-05,0.0005,50,32,,,,,False,,,,
r3_steplr_15_05_hiLR,2026-04-04T15:26:20.598539,,10,0.943,0.8133,0.8111,,0.84,0.0001,0.001,50,32,,,,,False,,,,
r3_steplr_labelsmooth,2026-04-04T16:33:25.931912,,9,0.9474,0.8318,0.8267,,0.9333333333333333,0.0001,0.001,50,32,,,,,False,,,,
r3_steplr_mixup,2026-04-04T15:35:19.912642,,11,0.9432,0.817,0.8111,,0.9333333333333333,0.0001,0.001,50,32,,,,,True,,,,
r3_swin_steplr,2026-04-04T16:56:12.886818,,34,0.9345,0.8076,0.8022,,0.84,5e-05,0.0005,50,32,,,,,False,,,,
r4_anomaly_type,2026-04-04T19:12:30.253698,anomaly_type,12,0.9854,0.9399,0.9387,,,0.0001,0.001,50,32,,,,,False,,,,
r4_binary,2026-04-04T18:56:34.071327,binary,5,0.964,0.8703,0.9144,0.8986666666666666,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
r4_multiclass_best,2026-04-04T18:44:23.007427,multiclass,11,0.9715,0.8907,0.8878,,0.9733333333333334,0.0001,0.001,50,32,,,,,False,,,,
r4_multiclass_lowlr,2026-04-04T20:32:26.049702,multiclass,8,0.9724,0.8875,0.8856,,0.92,5e-05,0.0005,50,32,,,,,False,,,,
r4_multiclass_ls,2026-04-04T19:26:28.994423,multiclass,9,0.9736,0.8837,0.8822,,0.96,0.0001,0.001,50,32,,,,,False,,,,
r4_multiclass_mixup,2026-04-04T19:47:15.903665,multiclass,15,0.9746,0.883,0.8811,,0.9666666666666667,0.0001,0.001,50,32,,,,,True,,,,
r4_multiclass_step10,2026-04-04T20:17:41.689556,multiclass,27,0.9823,0.9008,0.8989,,0.9666666666666667,0.0001,0.001,50,32,,,,,False,,,,
r5_at_ls,2026-04-05T03:00:23.244519,anomaly_type,15,0.992,0.9604,0.96,,,0.0001,0.001,50,32,,,,,False,,,,
r5_at_mixup,2026-04-05T02:42:26.012385,anomaly_type,18,0.9893,0.9441,0.944,,,0.0001,0.001,50,32,,,,,True,,,,
r5_at_steplr15,2026-04-05T02:23:23.679303,anomaly_type,10,0.988,0.924,0.9227,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_100,2026-04-05T03:38:38.318280,anomaly_type,25,0.972,0.8595,0.86,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_200,2026-04-05T03:56:15.137770,anomaly_type,20,0.9813,0.901,0.9013,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_350,2026-04-05T04:11:18.177760,anomaly_type,11,0.9853,0.8769,0.8787,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_500,2026-04-05T04:45:08.632638,anomaly_type,15,0.9893,0.9079,0.908,,,0.0001,0.001,50,32,,,,,False,,,,
r6_at_full,2026-04-05T05:20:58.959974,anomaly_type,23,0.9893,0.9196,0.92,,,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_100,2026-04-05T03:32:35.124296,binary,13,0.9638,0.8212,0.8733,0.848,1.0,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_200,2026-04-05T03:47:12.905868,binary,19,0.9901,0.9078,0.9422,0.932,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_2k,2026-04-05T09:58:20.385723,binary,3,0.9911,0.9017,0.9378,0.926,0.9966666666666667,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_350,2026-04-05T04:01:50.901102,binary,5,0.9863,0.8675,0.9122,0.896,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_500,2026-04-05T04:30:22.620486,binary,23,0.996,0.9403,0.9644,0.96,0.9866666666666667,0.0001,0.001,50,32,,,,,False,,,,
r6_binary_full,2026-04-05T04:56:21.073777,binary,7,0.99,0.9406,0.9644,0.9586666666666667,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
r6_multiclass_2k,2026-04-05T10:36:23.424152,multiclass,9,0.995,0.9018,0.8994,,1.0,0.0001,0.001,50,32,,,,,False,,,,
